id,Text,Subjectivity,Polarity,Target
0,Historically there have been barriers in the healthcare community to fair representation and equity in… ,0.45,0.35,Positive
1,Honored and PfizerProud to see the trust that the public has placed in us reflected in this survey. We never forge… ,0.066666667,0,Neutral
2,"COVID19 illuminated the need to improve equity in clinicaltrials.

Next week, our Chief Development Officer… ",0,0,Neutral
3,Today we published a landmark study on diversity in our clinicaltrials. We conducted this study to set a benchmar… ,0,0,Neutral
4,"They volunteered🤚 to help change the world🌎 . We're sharing real kids thanking the real heroes, the 12-15 year old… ",0.3,0.2,Positive
5,Bladder cancer is most common in patients over 65. Learn more about our commitment to addressing gaps in care for t… ,0.5,0.233333333,Positive
6,"Since 1971  has supported the mental health of Black nurses.

Supported by The Pfizer Foundation, NBNA is a… ",0.316666667,-0.133333333,Negative
7,We are resolute in support of the  TimeToActCancer initiative. Come together and join 20 countries… ,0,0,Neutral
8,"At Pfizer, we believe partnership is key to advancing exciting areas of breaking science. With the help of leading… ",0.9,0.15,Positive
9,"Our novel prediction model, derived from machinelearning, showed 87% accuracy in predicting wild-type ATTRCM in a… ",0,0,Neutral
10,"🗣️On EuropeanStrokeAwarenessDay today, in partnership with European Stroke Organisation , we are launching the…",0,0,Neutral
11,"BREAKING: Today, with , we announced  expanded the Emergency Use Authorization of our… ",0,0,Neutral
12,The Pfizer-BioNTech COVID-19 Vaccine has not been approved or licensed by FDA but has been authorized for emergency… ,0,0,Neutral
13,"Congratulations to , whose ScienceBasedTargets have been approved in line with limiting global warming to 1.5°C…",0,0,Neutral
14,Our Chief Development Officer  will be recognized as the 2020/2021 Honorable Mentor by . Over… ,0,0,Neutral
15,What progress looks like: &gt;1 million less cancer deaths thanks to the availability of new cancer drugs. We need po… ,0.24040404,0.056565657,Positive
16,"You’ve got questions, we’ve got answers. Visit  for information about Pfizer medications. ",0,0,Neutral
17,"BREAKING: Today, with , we initiated the submission of a BLA for  approval of the Pfizer-BioNTec… ",0,0,Neutral
18,"Pfizer's Morris Birnbaum, MD, PhD, recently joined  AspenIdeasHealth 2021 to discuss Pfizer’s commitmen… ",0.25,0,Neutral
19,"Covid made it necessary for researchers and scientists to monitor clinical trials from afar. To their surprise, tha… ",1,0,Neutral
20,"With , we signed a memorandum of understanding w  to work w national Olympic committees &amp; g… ",0,0,Neutral
21,"On International Day of the Midwife, learn about our partnership with , which is helping prevent… ",0,0,Neutral
22,"Certain minority populations are 4x more likely to be diagnosed with metastatic melanoma, a more advanced stage of… ",0.634285714,0.322857143,Positive
23,Happy to see doses of the Pfizer-BioNTech COVID19 vaccine have arrived in Bolivia 🇧🇴. Another COVAX delivery and anothe…,1,0.8,Positive
24,Our Chief Development Officer  will be recognized as the 2020/2021 Honorable Mentor by . Over… ,0,0,Neutral
25,Today we have announced we are mobilizing the largest humanitarian relief effort in our company’s history to help t… ,0,0,Neutral
26,Tick-borne encephalitis (TBE) is a potentially serious but preventable disease transmitted by infected ticks foun… ,0.666666667,-0.333333333,Negative
27,Ticks can carry infections like LymeDisease and tick-borne encephalitis. If you’re planning travel to areas where… ,0,0,Neutral
28,The  released a report on lessons learned and best practices for integrating displaced… ,0.3,1,Positive
29,"We’re proud members of ’s Business Coalition for the Equality Act. Together, we represent: 
•400+ major compani… ",0.75,0.43125,Positive
30,DYK immunization is one of the world’s most successful and cost-effective public health interventions? Here are 4 w… ,0.505555556,0.416666667,Positive
31,"Older people make up a majority of those living with cancer, yet they remain underrepresented in clinicaltrials.… ",0.333333333,0.166666667,Positive
32,"With the recent acquisition of Amplyx Pharmaceuticals, our anti-infectives portfolio has the potential to deliver c… ",0.625,0,Neutral
33,Pfizer Medical Information is here to support our front-line healthcare workers. Learn more about our services at ,0.25,0.25,Positive
34,"Creatives, we’re going live in an hour! Help us make health information accessible to *everyone*. Join us via the l… ",0.4375,0.272727273,Positive
